Category,Description,Material cost per unit,Labor cost per unit,Lump sum cost,Manhours per unit,Equipment cost per unit,Unit of measure,Crew code and detail,Crew Code
Asphaltic concrete core drilling,Per linear inch,,,6.22,,,Ea,,
Asphaltic concrete core drilling,Add for equipment and technician for core drilling,,,82.2,,,Hr,,
Asphaltic concrete core drilling,Asphaltic core density,,,29.3,,,Ea,,
Asphaltic concrete testing,ASTM D 2172,,,70.4,,,Ea,,
Asphaltic concrete testing,"Gradation on extracted sample (including wash), ASTM C 136",,,88.2,,,Ea,,
Asphaltic concrete testing,"Maximum density, lab mixed, Marshall, 1559",,,206,,,Ea,,
Asphaltic concrete testing,"Maximum density, premixed, Marshall, 1559",,,148,,,Ea,,
Asphaltic concrete testing,"Maximum theoretical unit weight (Rice Gravity), ASTM 2041",,,88.2,,,Ea,,
Asphaltic concrete testing,"Penetration, ASTM D 5",,,70.5,,,Ea,,
Asphaltic concrete testing,"Stability, lab mixed, Marshall, ASTM D 1559",,,293,,,Ea,,
Asphaltic concrete testing,"Stability, premixed, Marshall, ASTM D 1559",,,178,,,Ea,,
Concrete testing,Per aggregate size,,,84.5,,,Ea,,
Concrete testing,Amend or re-type existing mix designs Not involving calculations,,,49.2,,,Ea,,
Concrete testing,"Compression test, 2"", 4"", or 6"" cores (excludes sample preparation) ASTM C 42",,,43.4,,,Ea,,
Concrete testing,"Compression test, 6"" x 12"" cylinders, including mold ASTM C 39",,,15.3,,,Ea,,
Concrete testing,Core cutting in laboratory,,,49.2,,,Ea,,
Concrete testing,Cylinder pickup within 40 miles of laboratory Cost per cylinder (minimum of 3),,,10.6,,,Ea,,
Concrete testing,"Flexure test, 6"" x 6"" beams, ASTM C 78",,,62.2,,,Ea,,
Concrete testing,"Laboratory trial, concrete batch, ASTM C 192",,,406,,,Ea,,
Concrete testing,"Length change (3 bars, 4 readings, up to 90 days) ASTM C 157 modified",,,280,,,LS,,
Concrete testing,"Additional readings, per set of 3 bars",,,43.4,,,LS,,
Concrete testing,"Storage over 90 days, per set of 3 bars, per month",,,43.5,,,Mo,,
Concrete testing,"Modulus of elasticity test, static, ASTM C 469",,,85.6,,,Ea,,
Concrete testing,"Mix design, determination of proportions",,,92.8,,,Ea,,
Concrete testing,"Pick up aggregate sample Within 40 mile radius of laboratory, per trip",,,55.2,,,Ea,,
Concrete testing,"Pickup or delivery of shrinkage molds, per trip",,,37.6,,,Ea,,
Concrete testing,Prepare special strength documentation for mix design,,,104,,,Ea,,
Concrete testing,"Proportional analysis, cement factor and percent of aggregate Per analysis",,,269,,,Ea,,
Concrete testing,Review mix design prepared by others,,,79.8,,,Ea,,
Concrete testing,"Splitting tensile, 6"" x 12"" cylinder, ASTM C 496",,,37.6,,,Ea,,
Concrete testing,Weight per cubic foot determination of lightweight concrete cylinders,,,7.05,,,Ea,,
Brick testing,Modulus of rupture (flexure) or compressive strength,,,31.8,,,Ea,,
Brick testing,"Absorption initial rate, 5 hour or 24 hour",,,25.7,,,Ea,,
Brick testing,"Boil, 1, 2, or 5 hours",,,25.6,,,Ea,,
Brick testing,Efflorescence,,,31.7,,,Ea,,
Brick testing,"Dimensions, overall, coring, shell and web",,,25.7,,,Ea,,
Brick testing,Compression of core,,,43.4,,,Ea,,
Brick testing,"Cores, shear, 6"" and 8"" diameter, 2 faces, per core",,,55.2,,,Ea,,
Brick testing,Coefficient of friction (slip test),,,98.6,,,Ea,,
Concrete block testing,Moisture content as received,,,25.7,,,Ea,,
Concrete block testing,Absorption,,,31.7,,,Ea,,
Concrete block testing,Compression,,,37.6,,,Ea,,
Concrete block testing,"Shrinkage, modified British, ASTM C 426",,,79.8,,,Ea,,
Concrete block testing,"Compression, 4"", 6"", 8"" cores",,,43.4,,,Ea,,
Concrete block testing,"Fireproofing, oven dry density",,,37.6,,,Ea,,
Gunite testing,"Compression, 2"", 4"", 6"" cores, ASTM C 42",,,43.5,,,Ea,,
Gunite testing,Pickup gunite field sample (40 mile trip maximum),,,62.2,,,Ea,,
Building stone testing,Compression,,,37.6,,,Ea,,
Building stone testing,Flex strength,,,37.6,,,Ea,,
Building stone testing,Modules/rupture,,,37.6,,,Ea,,
Building stone testing,Specific gravity,,,37.6,,,Ea,,
Building stone testing,Water absorption,,,37.6,,,Ea,,
Masonry prisms testing,"Compression test, grouted prisms",,,160,,,Ea,,
Masonry prisms testing,"Pickup prisms, within 40 miles of lab",,,43.4,,,Ea,,
Mortar and grout testing,"Compression test, 2"" x 4"" mortar cylinder",,,21.2,,,Ea,,
Mortar and grout testing,"Compression test, 3"" x 6"" grout prisms",,,28,,,Ea,,
Mortar and grout testing,"Compression test, 2"" cubes, ASTM C 109",,,55.2,,,Ea,,
Roof fill testing,Compression test,,,25.7,,,Ea,,
Roof fill testing,Density,,,18.9,,,Ea,,
Roofing tile testing,"Roofing tile breaking strength, UBC",,,25.6,,,Ea,,
Roofing tile testing,Roofing tile absorption,,,25.6,,,Ea,,
"Reinforcement testing, sampling at fabricator's plant","During normal business hours, per sample",,,21.2,,,Ea,,
"Reinforcement testing, sampling at fabricator's plant","Other than normal business hours, per sample",,,31.8,,,Ea,,
Reinforcement testing,"Tensile test, mechanically spliced bar",,,118,,,Ea,,
Reinforcement testing,"Tensile test, number 11 bar or smaller, ASTM 615",,,30.6,,,Ea,,
Reinforcement testing,"Tensile test, number 14 bar or smaller, ASTM 615",,,68.1,,,Ea,,
Reinforcement testing,"Tensile test, number 18 bar, ASTM 615",,,79.8,,,Ea,,
Reinforcement testing,"Tensile test, welded number 11 bar or smaller",,,43.5,,,Ea,,
Reinforcement testing,"Tensile test, welded number 14 bar",,,79.7,,,Ea,,
Reinforcement testing,"Tensile test, welded number 18 bar",,,98.6,,,Ea,,
Tensile and elongation test for prestress strands,"24"" test, ASTM A 416",,,98.5,,,Ea,,
Tensile and elongation test for prestress strands,"10"" test, ASTM A 421",,,55.2,,,Ea,,
Soils and aggregate base testing,Bearing ratio (excluding moisture-density curve),,,130,,,Ea,,
Soils and aggregate base testing,Consolidation test (single point),,,88.1,,,Ea,,
Soils and aggregate base testing,Consolidation test (without rate data),,,112,,,Ea,,
Direct shear testing of soils,"Unconsolidated, undrained",,,76.3,,,Ea,,
Direct shear testing of soils,"Consolidated, undrained",,,118,,,Ea,,
Direct shear testing of soils,"Consolidated, drained",,,148,,,Ea,,
Soils and aggregate testing,Durability index – coarse and fine,,,165,,,Ea,,
Soils and aggregate testing,"Expansion index test, UBC 29-2",,,130,,,Ea,,
Soils and aggregate testing,"Liquid limit or plastic limit, Atterberg limits",,,118,,,Ea,,
Soils and aggregate testing,Mechanical analysis – ASTM D1140 (wash 200 sieve),,,48,,,Ea,,
Soils and aggregate testing,Mechanical analysis – sand and gravel (wash sieve),,,137,,,Ea,,
Soils and aggregate testing,Moisture content,,,17.8,,,Ea,,
Moisture-density curve for compacted fill,4-inch mold,,,153,,,Ea,,
Moisture-density curve for compacted fill,6-inch mold,,,165,,,Ea,,
Soils and aggregate base testing,Permeability (falling head),,,262,,,Ea,,
Soils and aggregate base testing,Permeability (constant head),,,206,,,Ea,,
Soils and aggregate base testing,Resistance value,,,256,,,Ea,,
Soils and aggregate base testing,Sand equivalent,,,76.4,,,Ea,,
Soils and aggregate base testing,Specific gravity – fine-grained soils,,,70.5,,,Ea,,
Soils and aggregate base testing,Unconfined compression test (undisturbed sample),,,82.2,,,Ea,,
Soils and aggregate base testing,Unit dry weight and moisture content (undisturbed sample),,,24.6,,,Ea,,
Steel testing,"Charpy impact test, reduced temperature",,,30.6,,,Ea,,
Steel testing,"Charpy impact test, room temperature",,,15.3,,,Ea,,
Steel testing,Electric extensometer,,,73.9,,,Ea,,
Steel testing,"Hardness tests, Brinell or Rockwell",,,25.7,,,Ea,,
Photo micrograph steel testing,"20× to 2,000×",,,25.7,,,Ea,,
Photo micrograph steel testing,With negative,,,30.6,,,Ea,,
Steel testing,"Tensile test, under 100,000 lbs",,,43.4,,,Ea,,
Welder qualification testing,Tensile test,,,43.4,,,Ea,,
Welder qualification testing,Bend test,,,30.6,,,Ea,,
Welder qualification testing,Macro etch,,,62.2,,,Ea,,
Welder qualification testing,Fracture test,,,37.6,,,Ea,,
Welder qualification testing,"Machining for weld tests, 1/2"" and less",,,43.5,,,Ea,,
Welder qualification testing,"Machining for weld tests, over 1/2""",,,62.2,,,Ea,,
Job progress photos,Typical cost,,,647,,,LS,,
Job progress photos,High cost,,,738,,,LS,,
Periodic survey visits,"Minimum two photos, per visit",,,420,,,Ea,,
Exterior completion photographs,Black and white,,,640,,,Ea,,
Exterior completion photographs,Color,,,642,,,Ea,,
Interior completion photographs,Black and white,,,732,,,Ea,,
Interior completion photographs,Color,,,752,,,Ea,,
Reprints or enlargements from digital file,"8"" x 10"", black and white",,,28.9,,,Ea,,
Reprints or enlargements from digital file,"11"" x 14"", black and white",,,40.6,,,Ea,,
Reprints or enlargements from digital file,"8"" x 10"", color",,,31.9,,,Ea,,
Reprints or enlargements from digital file,"11"" x 14"", color",,,43.8,,,Ea,,
Signs and markers,"3/4"" to 1-3/8"" diameter, 1/2"" letters, 8"" long",3.35,4.53,7.88,0.077,,Ea,PA: [58.83] - (Painter (Commercial)),PA
Signs and markers,"1-1/2"" to 2 3/8"" diameter, 3/4"" letters, 8"" long",3.35,4.53,7.88,0.077,,Ea,PA: [58.83] - (Painter (Commercial)),PA
Signs and markers,"2 1/2"" to 7 7/8"" diameter, 1-1/4"" letters, 12"" long",5.1,4.53,9.63,0.077,,Ea,PA: [58.83] - (Painter (Commercial)),PA
Signs and markers,"8"" to 10"" diameter, 2-1/2"" letters, 24"" long",7.3,5.59,12.89,0.095,,Ea,PA: [58.83] - (Painter (Commercial)),PA
Signs and markers,"Flow arrows, 2"" wide tape x 108' roll, perforated every 8"" (use $50.00 as minimum material cost)",71.9,5.59,77.49,0.095,,Ea,PA: [58.83] - (Painter (Commercial)),PA
Barrier tapes,"3 mil thick, short-term or indoor use",0.02,0.12,0.14,0.002,,LF,PA: [58.83] - (Painter (Commercial)),PA
Barrier tapes,"4 mil thick, long-term or outdoor use",0.09,0.12,0.21,0.002,,LF,PA: [58.83] - (Painter (Commercial)),PA
Traffic control signage,"12"" x 18""",52.1,26.8,78.9,0.455,,Ea,PA: [58.83] - (Painter (Commercial)),PA
Traffic control signage,"18"" x 24""",90.8,26.8,117.6,0.455,,Ea,PA: [58.83] - (Painter (Commercial)),PA
Traffic control signage,"24"" x   8"", Diamond grade (highly reflective)",96.6,26.8,123.4,0.455,,Ea,PA: [58.83] - (Painter (Commercial)),PA
Traffic control signage,"24"" x 12"", Diamond grade (highly reflective)",110,26.8,136.8,0.455,,Ea,PA: [58.83] - (Painter (Commercial)),PA
Traffic control signage,"24"" x 18""",90.8,26.8,117.6,0.455,,Ea,PA: [58.83] - (Painter (Commercial)),PA
Traffic control signage,"24"" x 24""",101,26.8,127.8,0.455,,Ea,PA: [58.83] - (Painter (Commercial)),PA
Traffic control signage,"30"" x 30""",162,26.8,188.8,0.455,,Ea,PA: [58.83] - (Painter (Commercial)),PA
Traffic control signage,Add for 8' breakaway pole and mounting,57.2,45.6,102.8,1,,Ea,CL: [45.57] - (Building Laborer),CL
Traffic control signage,Add for aluminum signs,9.87,,9.87,,,Ea,,
Temporary power pole installation,100 amp meter pole,,,567,,,Ea,,
Temporary power pole installation,200 amp meter pole,,,747,,,Ea,,
"Temporary overhead run to contractor's ""T"" pole","Single phase, 100 amps",,,455,,,LS,,
"Temporary overhead run to contractor's ""T"" pole","Single phase, over 100 to 200 amps",,,616,,,LS,,
"Temporary overhead run to contractor's ""T"" pole","Three phase, to 200 amps",,,708,,,LS,,
Temporary underground run in contractor's trench,"Single phase, 100 amps, ""USA"" wire",,,657,,,LS,,
Temporary underground run in contractor's trench,"Single phase, 101-200 amps, ""USA"" wire",,,849,,,LS,,
Temporary underground run in contractor's trench,"Three phase, to 200 amps, ""USA"" wire",,,941,,,LS,,
Typical power cost,Per kilowatt hour ($5.00 minimum),,,0.17,,,Ea,,
Typical power cost,"Per 1,000 SF of building per month of construction",,,2.66,,,MSF,,
Temporary water service,"Meter fee, 2"" meter (excluding $400 deposit)",,,93.8,,,LS,,
Temporary water service,"Water cost, per 1,000 gallons",,,2.29,,,M,,
Job phone,Cellular phone and one year service,,,673,,,LS,,
Portable job site toilets,Good quality (polyethylene),,,84.1,,,Mo,,
Portable job site toilets,"Deluxe quality, with sink, soap dispenser, towel dispenser, mirror",,,135,,,Mo,,
Trailer-mounted male and female compartment double toilet,Rental per week,,,376,,,Wk,,
Hoisting towers,Material hoist,6450,11100,17550,176,,Mo,CO: [63.35] - (Crane Operator),CO
Hoisting towers,Personnel hoist,14100,11100,25200,176,,Mo,CO: [63.35] - (Crane Operator),CO
Tower cranes,"5 ton lift at 180' radius, one operator",36300,11100,47400,176,,Mo,CO: [63.35] - (Crane Operator),CO
Tower cranes,With two operators,37100,22300,59400,352,,Mo,CO: [63.35] - (Crane Operator),CO
Tower cranes,"7 ton lift at 170' radius, one operator",48500,11100,59600,176,,Mo,CO: [63.35] - (Crane Operator),CO
Tower cranes,With two operators,52300,22300,74600,352,,Mo,CO: [63.35] - (Crane Operator),CO
"Mobilize, erect and dismantle self-climbing tower cranes",Good access,,,86700,,,LS,,
"Mobilize, erect and dismantle self-climbing tower cranes",Average access,,,105000,,,LS,,
"Mobilize, erect and dismantle self-climbing tower cranes",Poor access,,,171000,,,LS,,
Hydraulic truck cranes,12-1/2 ton,,,337,,,Hr,,
Hydraulic truck cranes,15 ton,,,354,,,Hr,,
Hydraulic truck cranes,25 ton,,,330,,,Hr,,
Hydraulic truck cranes,50 ton,,,436,,,Hr,,
Hydraulic truck cranes,70 ton,,,540,,,Hr,,
Hydraulic truck cranes,80 ton,,,548,,,Hr,,
Hydraulic truck cranes,100 ton,,,557,,,Hr,,
Hydraulic truck cranes,125 ton,,,623,,,Hr,,
Hydraulic truck cranes,150 ton,,,656,,,Hr,,
Hydraulic truck cranes,Add for clamshell or breaker ball work,,,68.1,,,Hr,,
Conventional cable cranes,50 tons,,,496,,,Hr,,
Conventional cable cranes,70 tons,,,559,,,Hr,,
Conventional cable cranes,90 tons,,,629,,,Hr,,
Conventional cable cranes,125 tons,,,870,,,Hr,,
Conventional cable cranes,140 tons,,,675,,,Hr,,
Air compressor rental,"16 CFM, shop type, electric",82.6,,,,,Day,,
Air compressor rental,"16 CFM, shop type, electric",194,,,,,Week,,
Air compressor rental,"16 CFM, shop type, electric",578,,,,,Month,,
Air compressor rental,"30 CFM, shop type, electric",88.4,,,,,Day,,
Air compressor rental,"30 CFM, shop type, electric",265,,,,,Week,,
Air compressor rental,"30 CFM, shop type, electric",796,,,,,Month,,
Air compressor rental,"80 CFM, shop type, electric",103,,,,,Day,,
Air compressor rental,"80 CFM, shop type, electric",315,,,,,Week,,
Air compressor rental,"80 CFM, shop type, electric",940,,,,,Month,,
Air compressor rental,"100 CFM, gasoline unit",141,,,,,Day,,
Air compressor rental,"100 CFM, gasoline unit",420,,,,,Week,,
Air compressor rental,"100 CFM, gasoline unit",1180,,,,,Month,,
Air compressor rental,"125 CFM, gasoline unit",174,,,,,Day,,
Air compressor rental,"125 CFM, gasoline unit",524,,,,,Week,,
Air compressor rental,"125 CFM, gasoline unit",1570,,,,,Month,,
"Air compressor rental, diesel",to 159 CFM,140,,,,,Day,,
"Air compressor rental, diesel",to 159 CFM,422,,,,,Week,,
"Air compressor rental, diesel",to 159 CFM,1270,,,,,Month,,
"Air compressor rental, diesel",160 -   249 CFM,187,,,,,Day,,
"Air compressor rental, diesel",160 -   249 CFM,566,,,,,Week,,
"Air compressor rental, diesel",160 -   249 CFM,1690,,,,,Month,,
"Air compressor rental, diesel",250 -   449 CFM,284,,,,,Day,,
"Air compressor rental, diesel",250 -   449 CFM,849,,,,,Week,,
"Air compressor rental, diesel",250 -   449 CFM,2540,,,,,Month,,
"Air compressor rental, diesel",450 -   749 CFM,378,,,,,Day,,
"Air compressor rental, diesel",450 -   749 CFM,1140,,,,,Week,,
"Air compressor rental, diesel",450 -   749 CFM,3380,,,,,Month,,
"Air compressor rental, diesel","750 - 1,200 CFM",752,,,,,Day,,
"Air compressor rental, diesel","750 - 1,200 CFM",2260,,,,,Week,,
"Air compressor rental, diesel","750 - 1,200 CFM",6790,,,,,Month,,
"Air compressor rental, diesel","1,400 CFM and over",942,,,,,Day,,
"Air compressor rental, diesel","1,400 CFM and over",2830,,,,,Week,,
"Air compressor rental, diesel","1,400 CFM and over",9610,,,,,Month,,
Paving breaker rental,to 40 lb,57.8,,,,,Day,,
Paving breaker rental,to 40 lb,185,,,,,Week,,
Paving breaker rental,to 40 lb,408,,,,,Month,,
Paving breaker rental,41 - 55 lb,92.9,,,,,Day,,
Paving breaker rental,41 - 55 lb,331,,,,,Week,,
Paving breaker rental,41 - 55 lb,695,,,,,Month,,
Paving breaker rental,56 - 70 lb,77.4,,,,,Day,,
Paving breaker rental,56 - 70 lb,266,,,,,Week,,
Paving breaker rental,56 - 70 lb,526,,,,,Month,,
Paving breaker rental,71 - 90 lb,133,,,,,Day,,
Paving breaker rental,71 - 90 lb,315,,,,,Week,,
Paving breaker rental,71 - 90 lb,674,,,,,Month,,
Paving breakers jackhammer bit rental,"Moil points, 15"" to 18""",12.4,,,,,Day,,
Paving breakers jackhammer bit rental,"Moil points, 15"" to 18""",25.8,,,,,Week,,
Paving breakers jackhammer bit rental,"Moil points, 15"" to 18""",46.4,,,,,Month,,
Paving breakers jackhammer bit rental,"Chisels, 3""",12.4,,,,,Day,,
Paving breakers jackhammer bit rental,"Chisels, 3""",23.7,,,,,Week,,
Paving breakers jackhammer bit rental,"Chisels, 3""",43.3,,,,,Month,,
Paving breakers jackhammer bit rental,"Clay spades, 5-1/2""",21.7,,,,,Day,,
Paving breakers jackhammer bit rental,"Clay spades, 5-1/2""",57.8,,,,,Week,,
Paving breakers jackhammer bit rental,"Clay spades, 5-1/2""",112,,,,,Month,,
Paving breakers jackhammer bit rental,"Asphalt cutters, 5""",15.5,,,,,Day,,
Paving breakers jackhammer bit rental,"Asphalt cutters, 5""",29.9,,,,,Week,,
Paving breakers jackhammer bit rental,"Asphalt cutters, 5""",69.1,,,,,Month,,
Rock drill rental,to 29 lb,53.7,,,,,Day,,
Rock drill rental,to 29 lb,158,,,,,Week,,
Rock drill rental,to 29 lb,392,,,,,Month,,
Rock drill rental,30 - 39 lb,83.6,,,,,Day,,
Rock drill rental,30 - 39 lb,345,,,,,Week,,
Rock drill rental,30 - 39 lb,696,,,,,Month,,
Rock drill rental,40 - 49 lb,123,,,,,Day,,
Rock drill rental,40 - 49 lb,656,,,,,Week,,
Rock drill rental,40 - 49 lb,715,,,,,Month,,
Rock drill rental,50 lb and over,71.2,,,,,Day,,
Rock drill rental,50 lb and over,247,,,,,Week,,
Rock drill rental,50 lb and over,845,,,,,Month,,
Rock drill bit rental,"7/8"", 2' long",16.5,,,,,Day,,
Rock drill bit rental,"7/8"", 2' long",38.2,,,,,Week,,
Rock drill bit rental,"7/8"", 2' long",70.2,,,,,Month,,
Rock drill bit rental,"1"", 6' long",14.4,,,,,Day,,
Rock drill bit rental,"1"", 6' long",38.2,,,,,Week,,
Rock drill bit rental,"1"", 6' long",75.3,,,,,Month,,
Pneumatic tool rental,"Pneumatic chippers, medium weight, 10 lb",120,,,,,Day,,
Pneumatic tool rental,"Pneumatic chippers, medium weight, 10 lb",272,,,,,Week,,
Pneumatic tool rental,"Pneumatic chippers, medium weight, 10 lb",506,,,,,Month,,
Pneumatic tool rental,"Pneumatic tampers, medium weight, 30 lb",42.3,,,,,Day,,
Pneumatic tool rental,"Pneumatic tampers, medium weight, 30 lb",140,,,,,Week,,
Pneumatic tool rental,"Pneumatic tampers, medium weight, 30 lb",496,,,,,Month,,
Pneumatic tool rental,"Pneumatic grinders, hand-held, 7 lb (no stone)",35.1,,,,,Day,,
Pneumatic tool rental,"Pneumatic grinders, hand-held, 7 lb (no stone)",83.6,,,,,Week,,
Pneumatic tool rental,"Pneumatic grinders, hand-held, 7 lb (no stone)",220,,,,,Month,,
"Air hose rental, 50 LF section","5/8"" air hose",11.4,,,,,Day,,
"Air hose rental, 50 LF section","5/8"" air hose",21.7,,,,,Week,,
"Air hose rental, 50 LF section","5/8"" air hose",51.6,,,,,Month,,
"Air hose rental, 50 LF section","3/4"" air hose",13.4,,,,,Day,,
"Air hose rental, 50 LF section","3/4"" air hose",27.9,,,,,Week,,
"Air hose rental, 50 LF section","3/4"" air hose",65,,,,,Month,,
"Air hose rental, 50 LF section","1"" air hose",16.5,,,,,Day,,
"Air hose rental, 50 LF section","1"" air hose",38.2,,,,,Week,,
"Air hose rental, 50 LF section","1"" air hose",78.4,,,,,Month,,
"Air hose rental, 50 LF section","1-1/2"" air hose",25.8,,,,,Day,,
"Air hose rental, 50 LF section","1-1/2"" air hose",74.3,,,,,Week,,
"Air hose rental, 50 LF section","1-1/2"" air hose",192,,,,,Month,,
Compaction equipment rental,"Vibro plate, 300 lb, 24"" plate width, gas",183,,,,,Day,,
Compaction equipment rental,"Vibro plate, 300 lb, 24"" plate width, gas",584,,,,,Week,,
Compaction equipment rental,"Vibro plate, 300 lb, 24"" plate width, gas",1240,,,,,Month,,
Compaction equipment rental,"Vibro plate, 600 lb, 32"" plate width, gas",371,,,,,Day,,
Compaction equipment rental,"Vibro plate, 600 lb, 32"" plate width, gas",978,,,,,Week,,
Compaction equipment rental,"Vibro plate, 600 lb, 32"" plate width, gas",2150,,,,,Month,,
Compaction equipment rental,"Rammer, 60 CPM, 200 lb, gas powered",128,,,,,Day,,
Compaction equipment rental,"Rammer, 60 CPM, 200 lb, gas powered",391,,,,,Week,,
Compaction equipment rental,"Rammer, 60 CPM, 200 lb, gas powered",831,,,,,Month,,
"Roller rental, two axle steel drum","1 ton, gasoline",419,,,,,Day,,
"Roller rental, two axle steel drum","1 ton, gasoline",1300,,,,,Week,,
"Roller rental, two axle steel drum","1 ton, gasoline",3280,,,,,Month,,
"Roller rental, two axle steel drum","6 - 8 ton, gasoline",557,,,,,Day,,
"Roller rental, two axle steel drum","6 - 8 ton, gasoline",1690,,,,,Week,,
"Roller rental, two axle steel drum","6 - 8 ton, gasoline",4180,,,,,Month,,
"Roller rental, two axle steel drum",8 - 10 ton,686,,,,,Day,,
"Roller rental, two axle steel drum",8 - 10 ton,2190,,,,,Week,,
"Roller rental, two axle steel drum",8 - 10 ton,5580,,,,,Month,,
"Rubber tired roller rental, self propelled","12 ton,   9 wheel, diesel",572,,,,,Day,,
"Rubber tired roller rental, self propelled","12 ton,   9 wheel, diesel",1740,,,,,Week,,
"Rubber tired roller rental, self propelled","12 ton,   9 wheel, diesel",5110,,,,,Month,,
"Rubber tired roller rental, self propelled","15 ton,   9 wheel, diesel",791,,,,,Day,,
"Rubber tired roller rental, self propelled","15 ton,   9 wheel, diesel",3370,,,,,Week,,
"Rubber tired roller rental, self propelled","15 ton,   9 wheel, diesel",7160,,,,,Month,,
"Rubber tired roller rental, self propelled","30 ton, 11 wheel, diesel",799,,,,,Day,,
"Rubber tired roller rental, self propelled","30 ton, 11 wheel, diesel",2730,,,,,Week,,
"Rubber tired roller rental, self propelled","30 ton, 11 wheel, diesel",6010,,,,,Month,,
Towed roller rental,"40"" diameter, double drum, 28"" wide",214,,,,,Day,,
Towed roller rental,"40"" diameter, double drum, 28"" wide",807,,,,,Week,,
Towed roller rental,"40"" diameter, double drum, 28"" wide",1940,,,,,Month,,
Towed roller rental,"60"" diameter, double drum, 54"" wide",375,,,,,Day,,
Towed roller rental,"60"" diameter, double drum, 54"" wide",1090,,,,,Week,,
Towed roller rental,"60"" diameter, double drum, 54"" wide",3340,,,,,Month,,
Self-propelled roller rental,"25 HP, 26"" wide roll",629,,,,,Day,,
Self-propelled roller rental,"25 HP, 26"" wide roll",2130,,,,,Week,,
Self-propelled roller rental,"25 HP, 26"" wide roll",6410,,,,,Month,,
Self-propelled roller rental,"100 HP, 36"" wide roll",1300,,,,,Day,,
Self-propelled roller rental,"100 HP, 36"" wide roll",5170,,,,,Week,,
Self-propelled roller rental,"100 HP, 36"" wide roll",15300,,,,,Month,,
Vibrating steel drum roller rental,"7 HP, 1,000 lb, one drum, 2' wide",223,,,,,Day,,
Vibrating steel drum roller rental,"7 HP, 1,000 lb, one drum, 2' wide",776,,,,,Week,,
Vibrating steel drum roller rental,"7 HP, 1,000 lb, one drum, 2' wide",1720,,,,,Month,,
Vibrating steel drum roller rental,"10 HP, 2,000 lb, two drum, 2'-6"" wide",168,,,,,Day,,
Vibrating steel drum roller rental,"10 HP, 2,000 lb, two drum, 2'-6"" wide",641,,,,,Week,,
Vibrating steel drum roller rental,"10 HP, 2,000 lb, two drum, 2'-6"" wide",1800,,,,,Month,,
Self-propelled riding roller rental,"9,000 lb, gasoline, two drum",315,,,,,Day,,
Self-propelled riding roller rental,"9,000 lb, gasoline, two drum",978,,,,,Week,,
Self-propelled riding roller rental,"9,000 lb, gasoline, two drum",2580,,,,,Month,,
Self-propelled riding roller rental,"15,000 lb, diesel, two drum",540,,,,,Day,,
Self-propelled riding roller rental,"15,000 lb, diesel, two drum",2370,,,,,Week,,
Self-propelled riding roller rental,"15,000 lb, diesel, two drum",5780,,,,,Month,,
Self-propelled riding roller rental,"25,000 lb, diesel, two drum",757,,,,,Day,,
Self-propelled riding roller rental,"25,000 lb, diesel, two drum",2160,,,,,Week,,
Self-propelled riding roller rental,"25,000 lb, diesel, two drum",6250,,,,,Month,,
Concrete equipment rental,"Buggies, push type, 7 CF",96,,,,,Day,,
Concrete equipment rental,"Buggies, push type, 7 CF",672,,,,,Week,,
Concrete equipment rental,"Buggies, push type, 7 CF",990,,,,,Month,,
Concrete equipment rental,"Buggies, walking type, 12 CF",140,,,,,Day,,
Concrete equipment rental,"Buggies, walking type, 12 CF",303,,,,,Week,,
Concrete equipment rental,"Buggies, walking type, 12 CF",879,,,,,Month,,
Concrete equipment rental,"Buggies, riding type, 14 CF",191,,,,,Day,,
Concrete equipment rental,"Buggies, riding type, 14 CF",534,,,,,Week,,
Concrete equipment rental,"Buggies, riding type, 14 CF",878,,,,,Month,,
Concrete equipment rental,"Buggies, riding type, 18 CF",132,,,,,Day,,
Concrete equipment rental,"Buggies, riding type, 18 CF",417,,,,,Week,,
Concrete equipment rental,"Buggies, riding type, 18 CF",861,,,,,Month,,
Concrete equipment rental,"Vibrator, electric, 3 HP, flexible shaft",74.3,,,,,Day,,
Concrete equipment rental,"Vibrator, electric, 3 HP, flexible shaft",235,,,,,Week,,
Concrete equipment rental,"Vibrator, electric, 3 HP, flexible shaft",553,,,,,Month,,
Concrete equipment rental,"Vibrator, gasoline, 6 HP, flexible shaft",103,,,,,Day,,
Concrete equipment rental,"Vibrator, gasoline, 6 HP, flexible shaft",303,,,,,Week,,
Concrete equipment rental,"Vibrator, gasoline, 6 HP, flexible shaft",905,,,,,Month,,
Concrete equipment rental,"Troweling machine, 36"", 4 paddle",79.5,,,,,Day,,
Concrete equipment rental,"Troweling machine, 36"", 4 paddle",256,,,,,Week,,
Concrete equipment rental,"Troweling machine, 36"", 4 paddle",707,,,,,Month,,
Concrete equipment rental,"Cement mixer, 6 CF",142,,,,,Day,,
Concrete equipment rental,"Cement mixer, 6 CF",423,,,,,Week,,
Concrete equipment rental,"Cement mixer, 6 CF",883,,,,,Month,,
Concrete equipment rental,Towable mixer (10+ CF),133,,,,,Day,,
Concrete equipment rental,Towable mixer (10+ CF),444,,,,,Week,,
Concrete equipment rental,Towable mixer (10+ CF),721,,,,,Month,,
Concrete equipment rental,"Power trowel 36"", gas, with standard handle",79.5,,,,,Day,,
Concrete equipment rental,"Power trowel 36"", gas, with standard handle",256,,,,,Week,,
